2024-08-16 21:19:51 INFO 'query_baidu' start 680 tasks by parallel.
2024-08-16 21:19:58 SUCCESS Task (营销策划, 0) completed by parallel. Result is [{'关键词': '营销策划', '百度手机页码': 1, '百度手机排名': 1, '百度手机标题.... Used  6.93 seconds.
2024-08-16 21:19:59 SUCCESS Task (营销策划, 1) completed by parallel. Result is [{'关键词': '营销策划', '百度手机页码': 2, '百度手机排名': 1, '百度手机标题.... Used  7.40 seconds.
2024-08-16 21:19:59 SUCCESS Task (营销策划, 2) completed by parallel. Result is [{'关键词': '营销策划', '百度手机页码': 3, '百度手机排名': 1, '百度手机标题.... Used  7.84 seconds.
2024-08-16 21:19:59 SUCCESS Task (营销策划, 3) completed by parallel. Result is [{'关键词': '营销策划', '百度手机页码': 4, '百度手机排名': 1, '百度手机标题.... Used  7.95 seconds.
2024-08-16 21:19:59 SUCCESS Task (营销策划, 4) completed by parallel. Result is [{'关键词': '营销策划', '百度手机页码': 5, '百度手机排名': 1, '百度手机标题.... Used  7.96 seconds.
2024-08-16 21:19:59 SUCCESS Task (营销策划, 5) completed by parallel. Result is [{'关键词': '营销策划', '百度手机页码': 6, '百度手机排名': 1, '百度手机标题.... Used  8.16 seconds.
2024-08-16 21:19:59 SUCCESS Task (营销策划, 6) completed by parallel. Result is [{'关键词': '营销策划', '百度手机页码': 7, '百度手机排名': 1, '百度手机标题.... Used  8.17 seconds.
2024-08-16 21:20:00 SUCCESS Task (营销策划, 7) completed by parallel. Result is [{'关键词': '营销策划', '百度手机页码': 8, '百度手机排名': 1, '百度手机标题.... Used  8.48 seconds.
2024-08-16 21:20:00 SUCCESS Task (营销策划, 8) completed by parallel. Result is [{'关键词': '营销策划', '百度手机页码': 9, '百度手机排名': 1, '百度手机标题.... Used  8.81 seconds.
2024-08-16 21:20:00 SUCCESS Task (营销策划, 9) completed by parallel. Result is [{'关键词': '营销策划', '百度手机页码': 10, '百度手机排名': 1, '百度手机标.... Used  8.89 seconds.
2024-08-16 21:20:00 SUCCESS Task (异业联盟, 0) completed by parallel. Result is [{'关键词': '异业联盟', '百度手机页码': 1, '百度手机排名': 1, '百度手机标题.... Used  8.89 seconds.
2024-08-16 21:20:00 SUCCESS Task (异业联盟, 1) completed by parallel. Result is [{'关键词': '异业联盟', '百度手机页码': 2, '百度手机排名': 1, '百度手机标题.... Used  8.90 seconds.
2024-08-16 21:20:00 SUCCESS Task (异业联盟, 2) completed by parallel. Result is [{'关键词': '异业联盟', '百度手机页码': 3, '百度手机排名': 1, '百度手机标题.... Used  9.09 seconds.
2024-08-16 21:20:00 SUCCESS Task (异业联盟, 3) completed by parallel. Result is [{'关键词': '异业联盟', '百度手机页码': 4, '百度手机排名': 1, '百度手机标题.... Used  9.17 seconds.
2024-08-16 21:20:00 SUCCESS Task (异业联盟, 4) completed by parallel. Result is [{'关键词': '异业联盟', '百度手机页码': 5, '百度手机排名': 1, '百度手机标题.... Used  9.24 seconds.
2024-08-16 21:20:00 SUCCESS Task (异业联盟, 5) completed by parallel. Result is [{'关键词': '异业联盟', '百度手机页码': 6, '百度手机排名': 1, '百度手机标题.... Used  9.26 seconds.
2024-08-16 21:20:01 SUCCESS Task (异业联盟, 6) completed by parallel. Result is [{'关键词': '异业联盟', '百度手机页码': 7, '百度手机排名': 1, '百度手机标题.... Used  9.28 seconds.
2024-08-16 21:20:01 SUCCESS Task (异业联盟, 7) completed by parallel. Result is [{'关键词': '异业联盟', '百度手机页码': 8, '百度手机排名': 1, '百度手机标题.... Used  9.29 seconds.
2024-08-16 21:20:01 SUCCESS Task (异业联盟, 8) completed by parallel. Result is [{'关键词': '异业联盟', '百度手机页码': 9, '百度手机排名': 1, '百度手机标题.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (异业联盟, 9) completed by parallel. Result is [{'关键词': '异业联盟', '百度手机页码': 10, '百度手机排名': 1, '百度手机标.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (薪酬自己定, 0) completed by parallel. Result is [{'关键词': '薪酬自己定', '百度手机页码': 1, '百度手机排名': 1, '百度手机标.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (薪酬自己定, 1) completed by parallel. Result is [{'关键词': '薪酬自己定', '百度手机页码': 2, '百度手机排名': 1, '百度手机标.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (薪酬自己定, 2) completed by parallel. Result is [{'关键词': '薪酬自己定', '百度手机页码': 3, '百度手机排名': 1, '百度手机标.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (薪酬自己定, 3) completed by parallel. Result is [{'关键词': '薪酬自己定', '百度手机页码': 4, '百度手机排名': 1, '百度手机标.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (薪酬自己定, 4) completed by parallel. Result is [{'关键词': '薪酬自己定', '百度手机页码': 5, '百度手机排名': 1, '百度手机标.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (薪酬自己定, 5) completed by parallel. Result is [{'关键词': '薪酬自己定', '百度手机页码': 6, '百度手机排名': 1, '百度手机标.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (薪酬自己定, 6) completed by parallel. Result is [{'关键词': '薪酬自己定', '百度手机页码': 7, '百度手机排名': 1, '百度手机标.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (薪酬自己定, 7) completed by parallel. Result is [{'关键词': '薪酬自己定', '百度手机页码': 8, '百度手机排名': 1, '百度手机标.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (薪酬自己定, 8) completed by parallel. Result is [{'关键词': '薪酬自己定', '百度手机页码': 9, '百度手机排名': 1, '百度手机标.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (薪酬自己定, 9) completed by parallel. Result is [{'关键词': '薪酬自己定', '百度手机页码': 10, '百度手机排名': 1, '百度手机.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (新媒体, 0) completed by parallel. Result is [{'关键词': '新媒体', '百度手机页码': 1, '百度手机排名': 1, '百度手机标题'.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (新媒体, 1) completed by parallel. Result is [{'关键词': '新媒体', '百度手机页码': 2, '百度手机排名': 1, '百度手机标题'.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (新媒体, 2) completed by parallel. Result is [{'关键词': '新媒体', '百度手机页码': 3, '百度手机排名': 1, '百度手机标题'.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (新媒体, 3) completed by parallel. Result is [{'关键词': '新媒体', '百度手机页码': 4, '百度手机排名': 1, '百度手机标题'.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (新媒体, 4) completed by parallel. Result is [{'关键词': '新媒体', '百度手机页码': 5, '百度手机排名': 1, '百度手机标题'.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (新媒体, 5) completed by parallel. Result is [{'关键词': '新媒体', '百度手机页码': 6, '百度手机排名': 1, '百度手机标题'.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (新媒体, 6) completed by parallel. Result is [{'关键词': '新媒体', '百度手机页码': 7, '百度手机排名': 1, '百度手机标题'.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (新媒体, 7) completed by parallel. Result is [{'关键词': '新媒体', '百度手机页码': 8, '百度手机排名': 1, '百度手机标题'.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (新媒体, 8) completed by parallel. Result is [{'关键词': '新媒体', '百度手机页码': 9, '百度手机排名': 1, '百度手机标题'.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (新媒体, 9) completed by parallel. Result is [{'关键词': '新媒体', '百度手机页码': 10, '百度手机排名': 1, '百度手机标题.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (项目互换, 0) completed by parallel. Result is [{'关键词': '项目互换', '百度手机页码': 1, '百度手机排名': 1, '百度手机标题.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (项目互换, 1) completed by parallel. Result is [{'关键词': '项目互换', '百度手机页码': 2, '百度手机排名': 1, '百度手机标题.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (项目互换, 2) completed by parallel. Result is [{'关键词': '项目互换', '百度手机页码': 3, '百度手机排名': 1, '百度手机标题.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (项目互换, 3) completed by parallel. Result is [{'关键词': '项目互换', '百度手机页码': 4, '百度手机排名': 1, '百度手机标题.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (项目互换, 4) completed by parallel. Result is [{'关键词': '项目互换', '百度手机页码': 5, '百度手机排名': 1, '百度手机标题.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (项目互换, 5) completed by parallel. Result is [{'关键词': '项目互换', '百度手机页码': 6, '百度手机排名': 1, '百度手机标题.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (项目互换, 6) completed by parallel. Result is [{'关键词': '项目互换', '百度手机页码': 7, '百度手机排名': 1, '百度手机标题.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (项目互换, 7) completed by parallel. Result is [{'关键词': '项目互换', '百度手机页码': 8, '百度手机排名': 1, '百度手机标题.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (项目互换, 8) completed by parallel. Result is [{'关键词': '项目互换', '百度手机页码': 9, '百度手机排名': 1, '百度手机标题.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (项目互换, 9) completed by parallel. Result is [{'关键词': '项目互换', '百度手机页码': 10, '百度手机排名': 1, '百度手机标.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (文案, 0) completed by parallel. Result is [{'关键词': '文案', '百度手机页码': 1, '百度手机排名': 1, '百度手机标题':.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (文案, 1) completed by parallel. Result is [{'关键词': '文案', '百度手机页码': 2, '百度手机排名': 1, '百度手机标题':.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (文案, 2) completed by parallel. Result is [{'关键词': '文案', '百度手机页码': 3, '百度手机排名': 1, '百度手机标题':.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (文案, 3) completed by parallel. Result is [{'关键词': '文案', '百度手机页码': 4, '百度手机排名': 1, '百度手机标题':.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (文案, 4) completed by parallel. Result is [{'关键词': '文案', '百度手机页码': 5, '百度手机排名': 1, '百度手机标题':.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (文案, 5) completed by parallel. Result is [{'关键词': '文案', '百度手机页码': 6, '百度手机排名': 1, '百度手机标题':.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (文案, 6) completed by parallel. Result is [{'关键词': '文案', '百度手机页码': 7, '百度手机排名': 1, '百度手机标题':.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (文案, 7) completed by parallel. Result is [{'关键词': '文案', '百度手机页码': 8, '百度手机排名': 1, '百度手机标题':.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (文案, 8) completed by parallel. Result is [{'关键词': '文案', '百度手机页码': 9, '百度手机排名': 1, '百度手机标题':.... Used  9.31 seconds.
2024-08-16 21:20:01 SUCCESS Task (文案, 9) completed by parallel. Result is [{'关键词': '文案', '百度手机页码': 10, '百度手机排名': 1, '百度手机标题'.... Used  9.31 seconds.
2024-08-16 21:20:09 SUCCESS Task (推广, 0) completed by parallel. Result is [{'关键词': '推广', '百度手机页码': 1, '百度手机排名': 1, '百度手机标题':.... Used  8.06 seconds.
2024-08-16 21:20:09 SUCCESS Task (推广, 1) completed by parallel. Result is [{'关键词': '推广', '百度手机页码': 2, '百度手机排名': 1, '百度手机标题':.... Used  8.35 seconds.
2024-08-16 21:20:10 SUCCESS Task (推广, 2) completed by parallel. Result is [{'关键词': '推广', '百度手机页码': 3, '百度手机排名': 1, '百度手机标题':.... Used  9.03 seconds.
2024-08-16 21:20:10 SUCCESS Task (推广, 3) completed by parallel. Result is [{'关键词': '推广', '百度手机页码': 4, '百度手机排名': 1, '百度手机标题':.... Used  9.45 seconds.
2024-08-16 21:20:10 SUCCESS Task (推广, 4) completed by parallel. Result is [{'关键词': '推广', '百度手机页码': 5, '百度手机排名': 1, '百度手机标题':.... Used  9.88 seconds.
2024-08-16 21:20:11 SUCCESS Task (推广, 5) completed by parallel. Result is [{'关键词': '推广', '百度手机页码': 6, '百度手机排名': 1, '百度手机标题':.... Used  10.04 seconds.
2024-08-16 21:20:11 SUCCESS Task (推广, 6) completed by parallel. Result is [{'关键词': '推广', '百度手机页码': 7, '百度手机排名': 1, '百度手机标题':.... Used  10.04 seconds.
2024-08-16 21:20:11 SUCCESS Task (推广, 7) completed by parallel. Result is [{'关键词': '推广', '百度手机页码': 8, '百度手机排名': 1, '百度手机标题':.... Used  10.05 seconds.
2024-08-16 21:20:11 SUCCESS Task (推广, 8) completed by parallel. Result is [{'关键词': '推广', '百度手机页码': 9, '百度手机排名': 1, '百度手机标题':.... Used  10.05 seconds.
2024-08-16 21:20:11 SUCCESS Task (推广, 9) completed by parallel. Result is [{'关键词': '推广', '百度手机页码': 10, '百度手机排名': 1, '百度手机标题'.... Used  10.05 seconds.
2024-08-16 21:20:11 SUCCESS Task (头条, 0) completed by parallel. Result is [{'关键词': '头条', '百度手机页码': 1, '百度手机排名': 1, '百度手机标题':.... Used  10.05 seconds.
2024-08-16 21:20:11 SUCCESS Task (头条, 1) completed by parallel. Result is [{'关键词': '头条', '百度手机页码': 2, '百度手机排名': 1, '百度手机标题':.... Used  10.07 seconds.
2024-08-16 21:20:11 SUCCESS Task (头条, 2) completed by parallel. Result is [{'关键词': '头条', '百度手机页码': 3, '百度手机排名': 1, '百度手机标题':.... Used  10.09 seconds.
2024-08-16 21:20:11 SUCCESS Task (头条, 3) completed by parallel. Result is [{'关键词': '头条', '百度手机页码': 4, '百度手机排名': 1, '百度手机标题':.... Used  10.09 seconds.
2024-08-16 21:20:11 SUCCESS Task (头条, 4) completed by parallel. Result is [{'关键词': '头条', '百度手机页码': 5, '百度手机排名': 1, '百度手机标题':.... Used  10.09 seconds.
2024-08-16 21:20:11 SUCCESS Task (头条, 5) completed by parallel. Result is [{'关键词': '头条', '百度手机页码': 6, '百度手机排名': 1, '百度手机标题':.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (头条, 6) completed by parallel. Result is [{'关键词': '头条', '百度手机页码': 7, '百度手机排名': 1, '百度手机标题':.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (头条, 7) completed by parallel. Result is [{'关键词': '头条', '百度手机页码': 8, '百度手机排名': 1, '百度手机标题':.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (头条, 8) completed by parallel. Result is [{'关键词': '头条', '百度手机页码': 9, '百度手机排名': 1, '百度手机标题':.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (头条, 9) completed by parallel. Result is [{'关键词': '头条', '百度手机页码': 10, '百度手机排名': 1, '百度手机标题'.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (私人定制, 0) completed by parallel. Result is [{'关键词': '私人定制', '百度手机页码': 1, '百度手机排名': 1, '百度手机标题.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (私人定制, 1) completed by parallel. Result is [{'关键词': '私人定制', '百度手机页码': 2, '百度手机排名': 1, '百度手机标题.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (私人定制, 2) completed by parallel. Result is [{'关键词': '私人定制', '百度手机页码': 3, '百度手机排名': 1, '百度手机标题.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (私人定制, 3) completed by parallel. Result is [{'关键词': '私人定制', '百度手机页码': 4, '百度手机排名': 1, '百度手机标题.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (私人定制, 4) completed by parallel. Result is [{'关键词': '私人定制', '百度手机页码': 5, '百度手机排名': 1, '百度手机标题.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (私人定制, 5) completed by parallel. Result is [{'关键词': '私人定制', '百度手机页码': 6, '百度手机排名': 1, '百度手机标题.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (私人定制, 6) completed by parallel. Result is [{'关键词': '私人定制', '百度手机页码': 7, '百度手机排名': 1, '百度手机标题.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (私人定制, 7) completed by parallel. Result is [{'关键词': '私人定制', '百度手机页码': 8, '百度手机排名': 1, '百度手机标题.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (私人定制, 8) completed by parallel. Result is [{'关键词': '私人定制', '百度手机页码': 9, '百度手机排名': 1, '百度手机标题.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (私人定制, 9) completed by parallel. Result is [{'关键词': '私人定制', '百度手机页码': 10, '百度手机排名': 1, '百度手机标.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (社交, 0) completed by parallel. Result is [{'关键词': '社交', '百度手机页码': 1, '百度手机排名': 1, '百度手机标题':.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (社交, 1) completed by parallel. Result is [{'关键词': '社交', '百度手机页码': 2, '百度手机排名': 1, '百度手机标题':.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (社交, 2) completed by parallel. Result is [{'关键词': '社交', '百度手机页码': 3, '百度手机排名': 1, '百度手机标题':.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (社交, 3) completed by parallel. Result is [{'关键词': '社交', '百度手机页码': 4, '百度手机排名': 1, '百度手机标题':.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (社交, 4) completed by parallel. Result is [{'关键词': '社交', '百度手机页码': 5, '百度手机排名': 1, '百度手机标题':.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (社交, 5) completed by parallel. Result is [{'关键词': '社交', '百度手机页码': 6, '百度手机排名': 1, '百度手机标题':.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (社交, 6) completed by parallel. Result is [{'关键词': '社交', '百度手机页码': 7, '百度手机排名': 1, '百度手机标题':.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (社交, 7) completed by parallel. Result is [{'关键词': '社交', '百度手机页码': 8, '百度手机排名': 1, '百度手机标题':.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (社交, 8) completed by parallel. Result is [{'关键词': '社交', '百度手机页码': 9, '百度手机排名': 1, '百度手机标题':.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (社交, 9) completed by parallel. Result is [{'关键词': '社交', '百度手机页码': 10, '百度手机排名': 1, '百度手机标题'.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (商务合作, 0) completed by parallel. Result is [{'关键词': '商务合作', '百度手机页码': 1, '百度手机排名': 1, '百度手机标题.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (商务合作, 1) completed by parallel. Result is [{'关键词': '商务合作', '百度手机页码': 2, '百度手机排名': 1, '百度手机标题.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (商务合作, 2) completed by parallel. Result is [{'关键词': '商务合作', '百度手机页码': 3, '百度手机排名': 1, '百度手机标题.... Used  10.10 seconds.
2024-08-16 21:20:11 SUCCESS Task (商务合作, 3) completed by parallel. Result is [{'关键词': '商务合作', '百度手机页码': 4, '百度手机排名': 1, '百度手机标题.... Used  10.10 seconds.
