Title,URL,Author,Source,Date,Database,Quote,Keywords,Abstract
Study on Chronic Lymphocytic Thyroiditis from Yin Fire Theory,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CAPJ&filename=SYZY20231101007,LI Haoming;ZHANG Lan,Journal of Practical Traditional Chinese Internal Medicine,2023-11-02 10:52,Journals,,Yin fire theory;; chronic lymphocytic thyroiditis;; the fire of qi deficiency;; liver depression and spleen deficiency;; spleen-kidney Yang deficiency;,Based on Li Dongyuan’s Yin fire theory， this paper discusses the relationship between chronic lymphocytic thyroiditis and Yin fire，and holds that spleen deficiency is the foundation of the disease， liver depression and spleen deficiency and spleen kidney Yang deficiency are the different syndrome types of Yin fire evolution in Hashimoto’s disease during the abnormal A-function. Yin fire theory plays an important role in explaining the pathogenesis of Hashimoto’s disease and provides new ideas for clinical treatment.
慢性淋巴细胞性甲状腺炎外科治疗(附49例分析),https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=BQEB200004043,"李文岗,丁田贵,孙毅群,张德恒",JOURNAL OF NORMAN BETHUNE UNIVERSITY OF MEDICAL SCIENCE,2000-07-30,Journals,1,慢性淋巴细胞性甲状腺炎;; 外科治疗;; 甲状腺自身抗体;,"目的 :研究手术加药物治疗对慢性淋巴细胞性甲状腺炎 （ CLT）的临床意义。方法 :对 4年间 49例病人进行回顾性分析 ,其中 2 0例病人行手术加药物治疗 ,2 9例病人给予单纯的药物治疗。结果 :手术加药物治疗组病人恢复快 ,复发少。对于一些不能排除恶性病变或伴随严重症状的病人 ,可以明确诊断。药物治疗组病人反复发作多 ,用药时间长。结论 :根据不同的病变范围 ,采用手术切除区域性病灶与药物治疗相结合的联合治疗 ,对 CLT不失为一种较满意的治疗方法。"
Role of cytokine imbalance mediated by nitric oxide in pathogenesis of chronic lymphocytic thyroiditis in children,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=XBFM200001015,"DONG Wen  bin,RAN Long  rui,XIAO Da  chengDepartment of Pediatrics, Affiliated Hospital of Luzhou Medical College, Luzhou 646000, Sichuan Province, China",JOURNAL OF CELLULAR AND MOLECULAR IMMUNOLOGY,2000-02-29,Journals,4,thyoiditis;; autoimmunity;; nitric oxide;; IFN  γ;; IL  4;,"Aim    To probe the role of serum nitric oxide（NO）in invasion of chronic lymphocytic thyroiditis（CLT） as a mediator of cytokine imbalance. Methods    NO concentration and IFN  γ/IL  4 levels produced by PBMC, and their relationships to thyroidal function were investigated in 13 children with CLT. Results   NO concentration and IFN  γlevel were significantly increased（P＜0.01）, while IL  4 level was markedly decreased（P＜0.01） compared with the control group. There were strong positive correlations between NO concentration and the levels of IFN  γand TSH（P＜0.05）. There were strong negative correlations between the NO concentration and the levels of IL  4, T3 and T4（P＜0.05）. Conclusion   NO could be involved in the development of chronic lymphocytic thyroiditis as a mediator of cytokines imbalance."
慢性淋巴细胞性甲状腺炎的临床特点,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=ZGWK200002004,王深明,CHINESE JOURNAL OF PRACTICAL SURGERY,2000-02-25,Journals,27,,
The effect of rhIL  10 on the imbalance of IFN  γ/IL  4 in children with  chronic lymphocytic thyroiditis,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=ZHEK200002017,"DONG Wenbin, XIAO Dacheng, RAN Longrui, et al. Department of Pediatrics, Affiliated Hospital, Luzhou  Medical  College, Sichuan 646000,China",Chinexe Journal of Pediatrics,2000-02-16,Journals,13,"Thyroiditis, autoimmune;; Interleukin  10;; Interleukin  4;; Interferon type Ⅱ;","Objective  To explore the effect of IL  10 on the imbalance of IFN  γ/IL  4 in children with chronic lymphocytic thyroiditis. Methods  The levels of IFN  γ, IL  4 in peripheral blood mononuclear cells （PBMC） before and after receiving recombinant interleukin  10 stimulation were determined by using ELISA in 10 children with chronic lymphocytic thyroiditis （CLT）.  Results  The levels of IFN  γ [（3 081±1 823）ng/L] and the ratio of IFN  γ/IL  4 10.1±5.4 increased （  P  ＜0.05） and IL  4 [（289± 32）ng/L] decreased （  P  ＜0.01） in children with CLT as compared with controls [（1 506 ± 578）ng/L, 5.0±3.1, （382±104）ng/L]. The increased IFN  γ and declined IL  4 were reversed by rhIL  10 （20 μg/L） to（1 831±1 562）ng/L and（381±125）ng/L , which were not significantly different from those of controls （  P  ＞0.05）.  Conclusion  IL  10 could redress the imbalance of Th  1/Th  2 type cytokine by inhibiting the synthesis of Th  1 type cytokine and inducing the production of Th  2  type cytokine."
儿童慢性淋巴细胞性甲状腺炎T细胞CD40L表达及其与细胞因子失衡的关联研究,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=ZHWS200001024,"董文斌,王菁,邓存良,肖大成",CHINESE JOURNAL OF MICROBIOLOGY AND IMMUNOLOGY,2000-01-30,Journals,1,,"为研究慢性淋巴细胞性甲状腺炎（ＣＬＴ）患儿发作期Ｔ细胞ＣＤ40ＬｍＲＮＡ表达及其与ＴＨ1/ＴＨ2细胞因子失衡的关系,以8例ＣＬＴ患儿为研究对象,采用ＲＴＰＣＲ技术和ＥＬＩＳＡ法分别检测在丝裂原诱导下外周血Ｔ细胞ＣＤ40ＬｍＲＮＡ的表达及单个核细胞（ＰＢＭＣ）产生Ｉ..."
The clinical observation of chronic lymphatic thyroiditis with treatment of Tripterygium Witfondii Hooh F,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=BANG200004012,"MOU Li  ping  (Department of Endocrinology,Affiliated Hospital of Bengbu Medical College,Anhui   233004  ,China)  [",JOURNAL OF BENGBU MEDICINAE COLLEGE,2000-07-15,Journals,15,thyroiditis;; Tripterygium Witfondii Hooh F;; prednisone;,"Objective:To observe the clinical efficiency of Tripterygium Witfondii Hooh F and prednisone in treatment for chronic lymphatic thyroitis（CLT）. Methods:Fifty female CLT patients without symptoms resulting from any change of thyroid funtion were divided by random sampling into A and B group（25 patients in each group）. All were treated with L  T\-4. On this base the patients in A group were plus with prednisone and ones in B with Tripterygium Witfondii Hooh F in three months. The blood T\-3,T\-4,TSH,TG  Ab,TPO  Ab and the changes of thyroid of the patients were determined before and after treatment. Results:The blood T\-3,T\-4 and TSH had no obvious change before and after medication. There was no difference in TG  Ab,TPO  Ab and the condition of thyroid compared between two groups,but there were significant differences to these data compared in pairs before and after treating（  P  ＜0.01）. In A group the patients complained obesity and 6 had edema and 2 weren’t given the medication owing to blood hypertension. However,all patients in B group had no side effect during the medical care. Conclusions:The treatment of CLT with Tripterygium Witfondii Hooh F is effective and safe,and may avoid side effect of prednisone.  ["
慢性淋巴细胞性甲状腺炎27例误诊分析,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=LCWZ200003066,王连武,CLINICAL MISDIAGNOSIS & MISTHERAPY,2000-06-17,Journals,1,,
慢性淋巴细胞性甲状腺炎的诊治体会(附22例报告),https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=MDJB200003035,"陈文平,周立新,于文涛",JOURNAL OF MUDANJIANG MEDICAL COLLEGE,2000-09-30,Journals,,,
儿童慢性淋巴细胞性甲状腺炎8例,https://www.cnki.net/KCMS/detail/detail.aspx?dbcode=CJFD&filename=SXYY200002067,"武文斌,赵俊萍",SHANXI MEDICAL JOURNAL,2000-04-20,Journals,,,
