题名,URL,作者,来源,发表日期,数据库类型,被引用次数,关键词,摘要
碘过量与桥本氏甲状腺炎之间关系的研究进展,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_arz9quwHCyzF95TAZN2DWTTDOwpZzlWBuQA5yETGxmSSkc718yc7rhpvb3fP2X7TCP1ugXwzqyL0TffmQGhvJYsO__qajQxGccPu6tiz0IWHWk8YDdBEefOlmBnFB8-yJzU-jWR3_QXw==&uniplatform=NZKPT&language=CHS,陈雪梅;刘燚;范源;瞿博,昆明医科大学学报,12/15/2014,期刊,71,碘; 甲状腺; 桥本氏甲状腺炎;,"碘过量是指碘的营养水平超过了人的生理需要量,碘的过量摄入可导致甲状腺功能亢进、自身免疫性甲状腺炎、甲状腺功能减退、甲状腺肿大和甲状腺癌等疾病发病率的上升.桥本甲状腺炎(HT),又叫慢性淋巴细胞性甲状腺炎(CLT),是最常见的自身免疫性甲状腺疾病之一,以体内生成特异性甲状腺自身抗体和甲状腺内淋巴细胞浸润,导致甲状腺组织结构破坏和甲状腺功能低下为主要特点.就碘过量与桥本氏甲状腺炎的机制作一综述."
隔药饼灸治疗慢性淋巴细胞性甲状腺炎,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_ZmdnrXoLIWDL-oPoYMn-9DANgty9dAtjl-1eqo3vbQ-MQVeplRvCQKWdQiNXa_tF9VhkLUwIA4cMowE5MeMGkHEr2WDS1l7OiIeQM0TbcLL7vbsChvBwO6gpdl8TymmmU=&uniplatform=NZKPT&language=CHS,王晓燕,中国针灸,1/12/2003,期刊,69,甲状腺炎; 自身免疫/针灸疗法; 间接灸;,"目的:探讨隔药饼灸对慢性淋巴细胞性甲状腺炎的治疗作用。方法:设治疗组34例,采用隔药饼灸疗法;药物组32例,口服甲状腺素片治疗;正常对照组35例,观察正常甲状腺指标。按甲状腺功能减退和甲状腺功能正常两种状态进行分析。结果:隔药饼灸能有效纠正慢性淋巴细胞性甲状腺炎患者的甲状腺功能和免疫力功能(P<0.01)。结论:隔药饼灸为治疗慢性淋巴细胞性甲状腺炎的较好方法。"
张兰教授治疗慢性淋巴细胞性甲状腺炎经验撷菁,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_bUW9myXXJmIbxJCXpGeJvus06nsrVSjf_-FS3yzgfHxkHvM1QjPuS66Jnh-s4vWpmBjKiDiCpReI-NK4hVTT-EMcRvlxQ4t_JMdLEWykPyJIFLdRJnmtzTXWT391dKC-4=&uniplatform=NZKPT&language=CHS,张春华;张兰,实用中医内科杂志,3/25/2008,期刊,67,慢性淋巴细胞性甲状腺炎; 张兰; 经验;,"慢性淋巴细胞性甲状腺炎,又称桥本氏病,是自身免疫性甲状腺疾病。现代医学对本病的治疗尚缺乏特效疗法,而中医药治疗,常能取得良好疗效。对张兰教授治疗本病的临床经验做了总结。"
隔药饼灸加左旋甲状腺素钠治疗慢性淋巴细胞性甲状腺炎,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_aO7Q0RTVFUW9AcAzOlkAO4uLOiNYdljEcwGHXe4ZueBwghQSYtStLuyNvGcc3y4kKw55FZW7sBhZmFgYkCBz3QWO8GuVllF_cUaFGh6skh_s42o2fR1ZqCWKNbJOxHvDo=&uniplatform=NZKPT&language=CHS,徐惠芬,浙江中西医结合杂志,6/20/2013,期刊,54,慢性淋巴细胞性甲状腺炎; 甲状腺功能减低; 隔药饼灸; 左旋甲状腺素钠;,"<正>慢性淋巴细胞性甲状腺炎是最常见的自身免疫性甲状腺疾病,是导致甲状腺功能减退症(甲减)的主要原因。多见于女性,起病缓慢,初期常无特殊不"
陈如泉运用活血消瘿汤治疗慢性淋巴细胞性甲状腺炎经验,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_bqeiVvqTWcR4AoXMvBZO6JVNCYFLIyO3OWSjU-cQx_g6_Qf6psiEbNKbj1giRR-3f1GbwlY2RXevctRg2CJLnSDzAUrxz3AhunPM55J50j5HDpl4CSm_Y70HXOCOBxILI=&uniplatform=NZKPT&language=CHS,方邦江;周爽;鲁新华,中医杂志,6/15/2002,期刊,50,"甲状腺炎,自身免疫性/中医药疗法; @活血消瘿汤; 名医经验;","<正> 慢性淋巴细胞性甲状腺炎,又称桥本病,是一种自身免疫性疾病。兹将吾师湖北中医学院陈如泉教授运用自拟活血消瘿汤治疗慢性淋巴细胞性甲状腺炎的经验介绍如下。1 病机分析慢性淋巴细胞性甲状腺炎,属于中医“瘿病”范畴。分别类似于气瘿或肉瘿或石瘿。然而,该病不等于中医“瘿病”,中医“瘿病”还包括地方性甲状腺肿、单纯性甲"
慢性淋巴细胞性甲状腺炎患者外周血Th17的检测及意义,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_bqeiVvqTWcR4AoXMvBZO6JVNCYFLIyO3OG1VuxEH3qZGWApx6DjmB4Egyr-b38P1Oo8Dj47Q0HDbam4TDraXiGRnJSZLY6WKA5YbZQGEjCqs8tUXaGJte6l0p_DTMt_5U=&uniplatform=NZKPT&language=CHS,宋进展;吴汉妮;钱伟,细胞与分子免疫学杂志,10/18/2009,期刊,37,慢性淋巴细胞性甲状腺炎; 辅助性T细胞17; 流式细胞术;,"目的:探讨慢性淋巴细胞性甲状腺炎(CLT)患者外周血辅助性T细胞17(Th17)的水平及意义。方法:收集甲状腺功能正常组CLT患者15例,甲状腺功能减退组CLT患者30例及20例健康对照组研究者的外周血样。采用胞内细胞因子染色流式细胞术(FCM)分析法,检测各组外周血Th17细胞占CD4+T细胞比值。应用电化学发光法检测CLT患者及健康对照组血清中抗甲状腺过氧化物酶抗体(TPO-Ab)和抗甲状球蛋白抗体(TG-Ab)水平。结果:与健康对照组比较:甲状腺功能正常组及甲状腺功能减退组的CLT患者外周血Th17/CD4+T细胞比值分别为(3.64±1.96)%、(3.13±1.56)%,均高于健康对照组(0.50±0.32%,P<0.01);两组CLT患者血清TPO-Ab和TG-Ab水平分别为(398.99±222.88;1456.02±1054.97)IU/L和(423.26±167.21;1587.94±1210.36)IU/L,均明显高于健康对照组(15.23±10.36;36.32±26.99)IU/L;差异有统计学意义(P<0.01)。CLT患者外周血Th17/CD4+T细胞比值改变与血清TPO-Ab及TG-Ab阳性表达呈显著正相关(分别为r=0.50,r=0.43;P<0.01)。结论:两组CLT患者外周血Th17细胞比率增加,且与甲状腺自身抗体水平存在显著正相关,Th17细胞可能参与CLT的发生发展。"
温阳消瘿汤治疗慢性淋巴细胞性甲状腺炎继发甲状腺功能减退,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_YGFCOByl7dvqgGMZa4q5cGShkkXvVOi00WBgMdVs1LgqfrcQpB3Cwl4pLJZTnFWSkIG9fTLBua5k55pOMtqFD3eEgtlQ57ws6KRuzSnCI2ysmXfk0CRwgH4RSBO-1aGXc=&uniplatform=NZKPT&language=CHS,姜莉莉;吴军;张德宪;孙黎明;白春英,现代中西医结合杂志,2/20/2011,期刊,34,慢性淋巴细胞性甲状腺炎; 甲状腺功能减退; 中西医结合疗法; 温阳消瘿汤;,"目的观察自拟温阳消瘿汤治疗慢性淋巴细胞性甲状腺炎继发甲状腺功能减退(甲减)患者的疗效。方法将60例此类患者随机分为2组,均口服左旋甲状腺素钠,治疗组在此基础上服用温阳消瘿汤。2组均以3个月为1个疗程,共治疗2个疗程。结果在改善症状、体征,改善甲状腺功能指标(FT3、FT4、TSH)及免疫指标(血清TPOAb、TGAb)等方面,治疗组均明显优于对照组(P均<0.05)。结论温阳消瘿汤治疗慢性淋巴细胞性甲状腺炎继发甲减有较好疗效。"
慢性淋巴细胞性甲状腺炎的局部免疫调节治疗,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_Z00CTq7EJvU_qUM42q5YQ_5P-e3GipUwQDcp8nseh7DbB5a-pHjgtGuILGfc5dT8cgYN80HfAoFs0jC82f50zAiRSB59Gi3DeQduLFQhq2EGSYR4vWcSxIdjSp-gEArVs=&uniplatform=NZKPT&language=CHS,刘晓云;刘超;覃又文;武晓泓;蒋琳,江苏医药,2/10/2007,期刊,32,慢性淋巴细胞性甲状腺炎; 免疫调节治疗; 糖皮质激素; 抗甲状腺过氧化物酶抗体;,"目的评价局部免疫调节治疗对慢性淋巴细胞性甲状腺炎(CLT)患者的治疗效果和安全性。方法选择81例CLT患者,采用甲状腺内局部注射糖皮质激素的方法,观察治疗前后患者自觉症状、甲状腺大小(B超测量)、甲状腺功能(TSH、FT3、FT4)和甲状腺过氧化酶抗体(TPoAb)等指标的变化。以患者的甲状腺功能正常或较前好转作为判定指标。结果(1)总有效率为66%;(2)患者甲状腺左右叶分别从治疗前的(7.55±0.57)cm3和(6.57±0.49)cm3下降至治疗后的(6.84±0.45)cm3和(5.80±0.46)cm3(P<0.05);(3)TPoAb从(338.2±43.2)mIU/L下降至(266.9±42.2)mIU/L(P<0.01);(4)TSH、FT3、FT4治疗前分别为(19.56±2.90)μIU/L、(4.43±0.23)pmol/L、(14.40±1.32)pmol/L,治疗后分别为(7.44±1.62)μIU/L、(4.52±0.19)pmol/L、(14.82±0.75)pmol/L,TSH明显下降,有显著性差异;FT3、FT4有上升的趋势,但是无统计学意义;(5)治疗前后患者自觉症状明显好转。结论局部免疫调节治疗CLT疗效确切、操作简便、安全价廉。"
中药复方对慢性淋巴细胞性甲状腺炎的临床研究,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_aoJxyUidHbFU3y0Ms-ms8YpoFIL_yWXNJw-rp6kOuAMxy5L4UC1s_VFUnRcUDl2RCC9a-VQAPbAcRREr9dcFQqPCPtlLHuWCklxPYx3tdhTgI2KFXNLPbhKDLM0ezIyqQ=&uniplatform=NZKPT&language=CHS,李昀昊;杨宏杰;何燕铭;孙小序,浙江中医杂志,7/16/2010,期刊,30,慢性淋巴细胞性甲状腺炎; 甲状腺过氧化物酶抗体; 甲状腺球蛋白抗体; 中医药疗法;,"目的:观察扶正益气中药复方对慢性淋巴细胞性甲状腺炎(HT)甲状腺过氧化物酶抗体(TPO-Ab)、甲状腺球蛋白抗体(TG-Ab)和临床症状的影响。方法:甲状腺功能正常或亚临床甲状腺功能减退的慢性淋巴细胞性甲状腺炎患者86例,随机分为治疗组和对照组各43例。治疗组单纯服用扶正益气中药,对照组单纯服用左甲状腺素钠片,其剂量以维持甲状腺功能正常范围为准。结果:治疗组TPO-Ab、TG-Ab水平明显降低,与对照组比较有显著性差异(P<0.05);治疗组在临床症状改善方面,总有效率86.05%,高于对照组的62.79%,两组比较有显著性差异(P<0.05)。结论:扶正益气中药复方可以显著改善HT患者抗体水平和临床症状,具有良好的治疗效果。"
硒酵母辅助左旋甲状腺素对慢性淋巴细胞性甲状腺炎伴甲减免疫调节的机制研究,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_aoJxyUidHbFU3y0Ms-ms8YpoFIL_yWXNKH_23R0rkxh67FT4jLUwwfkvhdl5UUgsweV0_JDfqgWfjhKNt_8vyKIBaMt_WxKoi9XeuM-XlNd1NKNRVMfz868q9LdaoMyB8BARmeeMXFeg==&uniplatform=NZKPT&language=CHS,黄勇,河北医药,5/26/2016,期刊,29,甲状腺炎; 甲状; 硒酵母; 左旋甲状腺素;,"目的观察硒酵母辅助左旋甲状腺素对慢性淋巴细胞性甲状腺炎伴甲减免疫调节的作用。方法将63例慢性淋巴细胞性甲状腺炎伴甲减患者随机分成2组,对照组31例进行左旋甲状腺素治疗,治疗组加服硒酵母,治疗6个月。结果 2组总有效率比较无统计学意义(P>0.05),但显效率之间比较有统计学意义,治疗组高于对照组(P<0.05)。2组治疗后甲功FT3、FT4较治疗前升高,TSH及甲功抗体指标下降,虽未完全恢复至正常范围,但比较差异有统计学意义(P<0.05)。2组FT3、FT4比较差异无统计学意义(P>0.05),TSH、TGAb及TPOAb指标比较,治疗低于对照组,比较差异有统计学意义(P<0.05)。2组治疗后甲状腺体积明显缩小,差异有统计学意义(P<0.05),且治疗组治疗后体积明显低于对照组,差异有统计学意义(P<0.05)。2组治疗后CD+8及NK升高,CD+4/CD+8、CD+4下降,且组间比较差异有统计学意义(P<0.05)。结论硒酵母辅助左旋甲状腺素对慢性淋巴细胞性甲状腺炎伴甲减具有较好的免疫调节作用。"
